Estrazione,Data,Ora,Entropia
3078,01/07/2025,07:00,3.3219280948873626
3079,01/07/2025,08:00,3.3219280948873626
3080,01/07/2025,09:00,3.3219280948873626
3081,01/07/2025,10:00,3.3219280948873626
3082,01/07/2025,11:00,3.3219280948873626
3083,01/07/2025,12:00,3.3219280948873626
3084,01/07/2025,13:00,3.3219280948873626
3085,01/07/2025,14:00,3.3219280948873626
3086,01/07/2025,15:00,3.3219280948873626
3087,01/07/2025,16:00,3.3219280948873626
3088,01/07/2025,17:00,3.3219280948873626
3089,01/07/2025,18:00,3.3219280948873626
3090,01/07/2025,19:00,3.3219280948873626
3091,01/07/2025,20:00,3.3219280948873626
3092,01/07/2025,21:00,3.3219280948873626
3093,01/07/2025,22:00,3.3219280948873626
3094,01/07/2025,23:00,3.3219280948873626
3095,02/07/2025,07:00,3.3219280948873626
3096,02/07/2025,08:00,3.3219280948873626
3097,02/07/2025,09:00,3.3219280948873626
3098,02/07/2025,10:00,3.3219280948873626
3099,02/07/2025,11:00,3.3219280948873626
3100,02/07/2025,12:00,3.3219280948873626
3101,02/07/2025,13:00,3.3219280948873626
3102,02/07/2025,14:00,3.3219280948873626
3103,02/07/2025,15:00,3.3219280948873626
3104,02/07/2025,16:00,3.3219280948873626
3105,02/07/2025,17:00,3.3219280948873626
3106,02/07/2025,18:00,3.3219280948873626
3107,02/07/2025,19:00,3.3219280948873626
3108,02/07/2025,20:00,3.3219280948873626
3109,02/07/2025,21:00,3.3219280948873626
